1,0,3,1,22
1,1,1,0,38
1,1,3,0,26
1,1,1,0,35
1,0,3,1,35
1,0,1,1,54
1,0,3,1,2
1,1,3,0,27
1,1,2,0,14
1,1,3,0,4
1,1,1,0,58
1,0,3,1,20
1,0,3,1,39
1,0,3,0,14
1,1,2,0,55
1,0,3,1,2
1,0,3,0,31
1,0,2,1,35
1,1,2,1,34
1,1,3,0,15
1,1,1,1,28
1,0,3,0,8
1,1,3,0,38
1,0,1,1,19
1,0,1,1,40
1,0,2,1,66
1,0,1,1,28
1,0,1,1,42
1,0,3,1,21
1,0,3,0,18
1,1,3,0,14
1,0,3,0,40
1,0,2,0,27
1,1,2,0,3
1,1,3,0,19
1,0,3,0,18
1,0,3,1,7
1,0,3,1,21
1,1,1,0,49
1,1,2,0,29
1,0,1,1,65
1,1,2,0,21
1,0,3,1,28.5
1,1,2,0,5
1,0,3,1,11
1,0,3,1,22
1,1,1,0,38
1,0,1,1,45
1,0,3,1,4
1,1,2,0,29
1,0,3,1,19
1,1,3,0,17
1,0,3,1,26
1,0,2,1,32
1,0,3,0,16
1,0,2,1,21
1,0,3,1,26
1,1,3,1,32
1,0,3,1,25
1,1,2,1,0.83
1,1,3,0,30
1,0,3,1,22
1,1,3,1,29
1,0,1,1,28
1,1,2,0,17
1,1,3,0,33
1,0,3,1,16
1,1,1,0,23
1,0,3,1,24
1,0,3,1,29
1,0,3,1,20
1,0,1,1,46
1,0,3,1,26
1,0,3,1,59
1,0,1,1,71
1,1,1,1,23
1,1,2,0,34
1,0,2,1,34
1,0,3,0,28
1,0,1,1,21
1,0,3,1,33
1,0,3,1,37
1,0,3,1,28
1,1,3,0,21
1,0,3,1,38
1,0,1,1,47
1,0,3,0,14.5
1,0,3,1,22
1,0,3,0,20
1,0,3,0,17
1,0,3,1,21
1,0,3,1,70.5
1,0,2,1,29
1,0,1,1,24
1,0,3,0,2
1,0,2,1,21
1,0,2,1,32.5
1,1,2,0,32.5
1,0,1,1,54
1,1,3,1,12
1,1,3,1,24
1,0,3,1,45
1,0,3,1,33
1,0,3,1,20
1,0,3,0,47
1,1,2,0,29
1,0,2,1,25
1,0,2,1,23
1,1,1,0,19
1,0,1,1,37
1,0,3,1,16
1,0,1,1,24
1,1,3,0,22
1,1,3,0,24
1,0,3,1,19
1,0,2,1,18
1,0,2,1,19
1,1,3,1,27
1,0,3,0,9
1,0,2,1,36.5
1,0,2,1,42
1,0,2,1,51
1,1,1,0,22
1,0,3,1,55.5
1,0,3,1,40.5
1,0,1,1,51
1,1,3,0,16
1,0,3,1,30
1,0,3,1,44
1,1,2,0,40
1,0,3,1,26
1,0,3,1,17
1,0,3,1,1
1,1,3,1,9
1,0,3,0,45
1,0,3,1,28
1,0,1,1,61
